# Chromosome ID   down    up		
A1	170549806	172549806
A3	141200005	143200005
B4	121171023	123171023
D2	922130	2922130
A1	34302671	36302671
B2	149860679	151860679
B3	135800478	137800478
B4	508834	2508834
B4	23617796	25617796
C2	134744902	136744902
D2	16084672	18084672
D2	80000093	82000093
D4	55518664	57518664
F1	49624373	51624373
F2	62222033	64222033
X	44785698	46785698
C2	0	1051385
A1	153602427	155602427
A1	168659171	170659171
A3	0	1097243
A3	72683148	74683148
B2	1942171	3942171
B2	63142810	65142810
B2	131541169	133541169
C2	37330139	39330139
D1	28577255	30577255
D4	25228590	27228590
E1	44368198	46368198
A3	132841631	134841631
B2	41341702	43341702
B4	76544578	78544578
C1	206876207	208876207
C2	157202327	159202327
D3	69896943	71896943
D3	95654458	96884206
D4	19749606	21749606
X	6596947	8596947
X	110416458	112416458
A2	69794560	71794560
A3	0	1097444
B3	0	1080634
B2	139538176	141538176
