# Chromosome ID   down    up		
A1	36559850	38559850
A1	86434194	88434194
A1	86661908	88661908
A1	90986082	92986082
A1	124666538	126666538
A1	153602427	155602427
A1	240024241	242024241
A2	6199456	8199456
A2	47890477	49890477
A2	55416655	57416655
A2	69794560	71794560
A2	122657107	124657107
A2	142119473	144119473
A3	0	1097444
A3	2320238	4320238
A3	37977157	39977157
A3	76888994	78888994
A3	76917349	78917349
A3	101855515	103855515
A3	132841631	134841631
A3	141200005	143200005
B1	66270589	68270589
B1	123950589	125950589
B1	135552325	137552325
B1	155352163	157352163
B1	200827018	202827018
B1	206201855	208201855
B2	27112801	29112801
B2	31150838	33150838
B2	54690560	56690560
B2	64730248	66730248
B2	139538176	141538176
B2	145684232	147684232
B2	149861037	151861037
B3	1130434	3130434
B3	24546595	26546595
B3	73694912	75694912
B3	78470596	80470596
B3	135800478	137800478
B4	13689014	15689014
B4	23617796	25617796
B4	28973213	30973213
B4	63351845	65351845
B4	78102334	80102334
C1	45392926	47392926
C1	57764761	59764761
C1	67452850	69452850
C1	218236324	220236324
C2	3816127	5816127
C2	130951595	132951595
C2	134744902	136744902
C2	142414052	144414052
C2	159924755	161193150
D1	33510046	35510046
D1	93144838	95144838
D1	116070342	117648028
D2	922130	2922130
D2	11595596	13595596
D3	63560362	65560362
D3	70626705	72626705
D3	83470684	85470684
D4	13464243	15464243
D4	74720081	76720081
D4	75548648	77548648
D4	93409684	95409684
E1	44368198	46368198
E2	22620399	24620399
E2	28101585	30101585
E2	59173567	61173567
E3	0	1144548
E3	4967351	6967351
E3	13901325	15901325
F1	9233702	11233702
F1	10542643	12542643
F1	17740066	19740066
F1	43637016	45637016
F1	49624373	51624373
F1	52355424	54355424
F2	18101086	20101086
F2	29387404	31387404
F2	84487943	85752456
X	0	1075504
X	7831199	9831199
X	44785698	46785698
X	51608515	53608515
X	97027273	99027273
X	121403862	123403862
