# Chromosome ID   down    up		
A1	90986082	92986082
A3	2320238	4320238
B2	54690560	56690560
B2	64730248	66730248
B2	145684232	147684232
D1	33510046	35510046
A1	86661908	88661908
A3	76917349	78917349
B3	78470596	80470596
E2	28101585	30101585
A3	132841631	134841631
B1	135552325	137552325
A2	69794560	71794560
A3	0	1097444
B1	66270589	68270589
B1	200827018	202827018
B3	73694912	75694912
B4	63351845	65351845
D1	93144838	95144838
X	7831199	9831199
A1	36559850	38559850
C1	218236324	220236324
E3	0	1144548
B1	206201855	208201855
B2	149861037	151861037
D1	116070342	117648028
D2	11595596	13595596
D4	75548648	77548648
F2	84487943	85752456
X	121403862	123403862
A3	76888994	78888994
B1	123950589	125950589
B2	27112801	29112801
B4	78102334	80102334
C2	142414052	144414052
D3	63560362	65560362
E2	59173567	61173567
F1	10542643	12542643
F1	52355424	54355424
F2	18101086	20101086
D2	922130	2922130
A1	34302671	36302671
B3	135800478	137800478
C2	134744902	136744902
D2	80000093	82000093
F1	49624373	51624373
X	44785698	46785698
A1	153602427	155602427
B3	1130434	3130434
B1	133767751	135767751
B4	13689014	15689014
D3	70626705	72626705
C2	130951595	132951595
C1	208662084	210662084
D4	93409684	95409684
C1	174128008	176128008
B2	139538176	141538176
B2	1325282	3325282
F2	31926553	33926553
B4	92341700	94341700
B2	2487959	4487959
A3	37977157	39977157
F1	17740066	19740066
D4	74720081	76720081
A2	122657107	124657107
B4	23617796	25617796
E1	44368198	46368198
A1	124666538	126666538
B3	24546595	26546595
A1	86434194	88434194
A2	6199456	8199456
B2	31150838	155302638
C2	159924755	161193150
F1	43637016	45637016
E2	22620399	24620399
A2	142119473	144119473
X	0	1075504
C1	57764761	59764761
